Representation,NPaired,Spearman,ICC_A1,Bias_H300_minus_L1,MAE
Global penetration fraction,778,0.9147586132241421,0.9041404663558914,0.03528711866257607,0.07403510063770645
Core penetration fraction,778,0.8892828173154579,0.8273323943993491,0.10421268806701382,0.14430765694708594
Penetration prevalence,770,0.8519723346031214,0.7406570940403754,0.09455636715469144,0.11903328098444158
Local deep-tail depth,758,0.6589646562039897,0.45381514451432237,0.1523605490574694,0.16649797863733728
