Scheme,Method,Representation,Classifier,Role,NFeatures,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate,FieldUnweightedAccuracy,WorstFieldAccuracy,BestFieldAccuracy,FieldAccuracySD
merge01,GlobalPF_Threshold,Global penetration fraction,Threshold,Single physical threshold baseline,1,882,0.7426303854875284,0.7018911529130871,0.7021803265808264,0.8942041754651511,0.2766439909297052,0.9807256235827665,0.01927437641723356,0.6903388016595563,0.6111111111111112,0.8454545454545455,0.09113401153848587
merge01,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,882,0.782312925170068,0.7473815573578784,0.7475347036938385,0.9157278517185745,0.22789115646258504,0.9897959183673469,0.01020408163265306,0.7382921847544489,0.6587301587301587,0.8704545454545455,0.0796057180523782
merge01,MidpointCompact_RF,Core penetration fraction + penetration prevalence,RF,Classifier-flexibility control,2,882,0.7471655328798186,0.7070018307368756,0.7064783079701045,0.9005148101556829,0.2675736961451247,0.9852607709750567,0.01473922902494331,0.6794964731285486,0.5384615384615384,0.8636363636363636,0.11707863333276125
merge01,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,882,0.782312925170068,0.7461301671795191,0.7462001543415183,0.9143923517794916,0.23015873015873015,0.9875283446712018,0.012471655328798186,0.7331654063965385,0.6634615384615384,0.8681818181818182,0.08149104607556212
merge01,VRI_Threshold,VRI,Threshold,Legacy baseline,1,882,0.7029478458049887,0.6703900298927716,0.6697811176260399,0.8706104058765183,0.3231292517006803,0.9739229024943311,0.026077097505668934,0.6349304259681618,0.5079365079365079,0.85,0.13236729356756846
