Scheme,HeldField,Method,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate
five_class,1,CorePF_LR,440,0.7431818181818182,0.5405239978928212,0.5365030703040683,0.9469664977477478,0.275,0.9818181818181818,0.01818181818181818
five_class,2,CorePF_LR,126,0.7063492063492064,0.6306161205111729,0.5740606060606062,0.7458263772954925,0.3492063492063492,0.9444444444444444,0.05555555555555555
five_class,3,CorePF_LR,212,0.5613207547169812,0.6561708201708203,0.5712266497350701,0.7810527696267273,0.49056603773584906,0.9481132075471698,0.05188679245283019
five_class,4,CorePF_LR,104,0.2403846153846154,0.3972727272727273,0.29545639379347244,0.4706108336534768,0.8461538461538461,0.9134615384615384,0.08653846153846154
five_class,1,GlobalPF_LR,440,0.6727272727272727,0.4612897083473014,0.4510089852477396,0.931049364955403,0.3568181818181818,0.9704545454545455,0.029545454545454545
five_class,2,GlobalPF_LR,126,0.5793650793650794,0.5867009352466623,0.5216475741239892,0.6788714193409434,0.46825396825396826,0.9523809523809523,0.047619047619047616
five_class,3,GlobalPF_LR,212,0.5943396226415094,0.6651962091962093,0.6028055738279904,0.818171648052505,0.41509433962264153,0.9905660377358491,0.009433962264150943
five_class,4,GlobalPF_LR,104,0.6538461538461539,0.5981818181818181,0.5737373737373738,0.6933776837012398,0.3557692307692308,0.9903846153846154,0.009615384615384616
five_class,1,GlobalPF_Threshold,440,0.6636363636363637,0.4557136663314337,0.4464443471935919,0.9293651447722653,0.3659090909090909,0.9704545454545455,0.029545454545454545
five_class,2,GlobalPF_Threshold,126,0.5873015873015873,0.5414649817948168,0.4176182336182336,0.6752098983650022,0.4603174603174603,0.9523809523809523,0.047619047619047616
five_class,3,GlobalPF_Threshold,212,0.6273584905660378,0.6808894933894933,0.632510883714243,0.8259945925067593,0.38207547169811323,0.9905660377358491,0.009433962264150943
five_class,4,GlobalPF_Threshold,104,0.6442307692307693,0.5384848484848485,0.5761262571186234,0.655400927766733,0.36538461538461536,0.9903846153846154,0.009615384615384616
five_class,1,LocalTail_LR,440,0.5590909090909091,0.3956229427070862,0.3584001370089946,0.7943360949587471,0.5954545454545455,0.884090909090909,0.1159090909090909
five_class,2,LocalTail_LR,126,0.5158730158730159,0.44300706789462413,0.29835943583975083,0.595339457763836,0.7301587301587301,0.8174603174603174,0.18253968253968253
five_class,3,LocalTail_LR,212,0.30660377358490565,0.3448791973791974,0.28565656565656566,0.43003563657005894,0.9669811320754716,0.7735849056603774,0.22641509433962265
five_class,4,LocalTail_LR,104,0.375,0.43,0.2762359411692003,0.46168623265741726,0.7211538461538461,0.9134615384615384,0.08653846153846154
five_class,1,MidpointCompact_LR,440,0.7613636363636364,0.5772663505898504,0.5713320314418595,0.9538868346375441,0.24772727272727274,0.990909090909091,0.00909090909090909
five_class,2,MidpointCompact_LR,126,0.6349206349206349,0.6421731991147283,0.5665631929046564,0.7380645161290322,0.3968253968253968,0.9682539682539683,0.031746031746031744
five_class,3,MidpointCompact_LR,212,0.6745283018867925,0.6868459693459693,0.6667967953749121,0.8425385297819225,0.330188679245283,0.9952830188679245,0.0047169811320754715
five_class,4,MidpointCompact_LR,104,0.7019230769230769,0.5363636363636364,0.5235556429929832,0.6735718769617074,0.3269230769230769,0.9711538461538461,0.028846153846153848
five_class,1,MidpointCompact_RF,440,0.7272727272727273,0.5953199814823684,0.5770164901743849,0.9442887931034483,0.28863636363636364,0.9840909090909091,0.015909090909090907
five_class,2,MidpointCompact_RF,126,0.626984126984127,0.693247661883344,0.6465631929046564,0.7399790136411333,0.40476190476190477,0.9682539682539683,0.031746031746031744
