Scheme,Method,Representation,Classifier,Role,NFeatures,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate,FieldUnweightedAccuracy,WorstFieldAccuracy,BestFieldAccuracy,FieldAccuracySD,Altitude,NCommonTrees
five_class,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,778,0.6131105398457584,0.5972979426066105,0.5826164050105229,0.8804182423365805,0.44087403598971725,0.9537275064267352,0.04627249357326478,0.6002114587020247,0.5793650793650794,0.6363636363636364,0.025663326255520782,20,778
five_class,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,778,0.6118251928020566,0.5954567862890101,0.5814475105477441,0.8812550599651714,0.4434447300771208,0.9485861182519281,0.05141388174807198,0.6072640148111846,0.5754716981132075,0.6272727272727273,0.022729960435469914,20,778
five_class,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,778,0.7146529562982005,0.6926998530541846,0.686065876259627,0.935409177497427,0.2917737789203085,0.993573264781491,0.006426735218508998,0.7079328777441986,0.6981132075471698,0.7272727272727273,0.013675885310385721,40,778
five_class,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,778,0.7249357326478149,0.7078221659400274,0.6988530655396037,0.9350896598144212,0.28406169665809766,0.9922879177377892,0.007712082262210797,0.7199551671249784,0.7063492063492064,0.7318181818181818,0.010470452828312445,40,778
five_class,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,778,0.718508997429306,0.705958338456645,0.6956975767842687,0.9327881126533433,0.2917737789203085,0.9897172236503856,0.010282776349614395,0.6913263361376569,0.6190476190476191,0.7568181818181818,0.05644896343409884,60,778
five_class,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,778,0.7300771208226221,0.7116894485404051,0.7048272662082559,0.9336351597170538,0.2827763496143959,0.987146529562982,0.012853470437017995,0.6997345421873723,0.6428571428571429,0.7818181818181819,0.059464602915520436,60,778
five_class,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,778,0.6966580976863753,0.675286859278871,0.6644531565641947,0.926544411931118,0.3161953727506427,0.9897172236503856,0.010282776349614395,0.6759243377167904,0.6179245283018868,0.7431818181818182,0.05155337377883568,80,778
five_class,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,778,0.705655526992288,0.6856287160960974,0.6776285184363043,0.926851224911504,0.30848329048843187,0.9884318766066839,0.011568123393316195,0.6853011244520678,0.6415094339622641,0.7477272727272727,0.0453210001411727,80,778
five_class,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,778,0.6928020565552699,0.6720870404424465,0.6679909707441316,0.9226133002528638,0.32390745501285345,0.9845758354755784,0.015424164524421594,0.658250292684255,0.5943396226415094,0.7613636363636364,0.07360657808084706,100,778
five_class,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,778,0.7210796915167095,0.6992326418867422,0.695712717614207,0.927674925042047,0.2969151670951157,0.9832904884318766,0.016709511568123392,0.6798054670696181,0.6190476190476191,0.7977272727272727,0.08339621573827967,100,778
five_class,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,778,0.6619537275064268,0.6373955005153473,0.633390557580977,0.9050872270342808,0.36503856041131105,0.9781491002570694,0.021850899742930592,0.6446590795647399,0.5990566037735849,0.7,0.041781337847540484,120,778
five_class,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,778,0.7133676092544987,0.6884156001001351,0.6851299866866765,0.9185623600628763,0.31233933161953725,0.9794344473007712,0.02056555269922879,0.6792942906150454,0.6132075471698113,0.7818181818181819,0.07349891532841368,120,778
