Scheme,Method,Representation,Classifier,Role,NFeatures,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate,FieldUnweightedAccuracy,WorstFieldAccuracy,BestFieldAccuracy,FieldAccuracySD,CV_Accuracy,CV_BalancedAccuracy,CV_MacroF1,CV_QWK,CV_MAE,CV_Within1,CV_minus_LOFO_Accuracy
five_class,VRI_Threshold,VRI,Threshold,Legacy baseline,1,882,0.6099773242630385,0.5963535076399116,0.5882422245336282,0.8873820631585981,0.4217687074829932,0.9682539682539683,0.031746031746031744,0.5803882700109115,0.5079365079365079,0.6795454545454546,0.067894384079795,0.6241496598639455,0.6148288207262469,0.6197541186725257,0.8829990665067553,0.4038548752834467,0.9719954648526077,0.014172335600907027
five_class,GlobalPF_Threshold,Global penetration fraction,Threshold,Single physical threshold baseline,1,882,0.6417233560090703,0.6309987530005109,0.6150864209071063,0.9037935589393089,0.3832199546485261,0.9750566893424036,0.024943310657596373,0.6306318026836895,0.5873015873015873,0.6636363636363637,0.02811785496844625,0.6704081632653061,0.6628046501302653,0.6604723603425537,0.9097481079491644,0.34716553287981855,0.9824263038548754,0.02868480725623579
five_class,GlobalPF_LR,Global penetration fraction,LR,Single physical probabilistic baseline,1,882,0.6383219954648526,0.624668795883179,0.607681827047627,0.9041722613449917,0.3866213151927438,0.9750566893424036,0.024943310657596373,0.6250695321450038,0.5793650793650794,0.6727272727272727,0.03915539086748859,0.6689342403628118,0.6593801925846974,0.6545886689266606,0.9120469989208819,0.3479591836734694,0.9831065759637188,0.030612244897959218
five_class,CorePF_LR,Core penetration fraction,LR,Central penetration-magnitude component,1,882,0.6349206349206349,0.6164352944432443,0.5999751533252271,0.8978960204785966,0.40476190476190477,0.9603174603174603,0.03968253968253968,0.5628090986581553,0.2403846153846154,0.7431818181818182,0.19817785133953347,0.6645124716553288,0.6487653853393869,0.6393873148024666,0.9034209165264351,0.3709750566893424,0.9645124716553288,0.0295918367346939
five_class,Prevalence_LR,Penetration prevalence,LR,Spatial-prevalence component,1,882,0.6405895691609977,0.6229302591201107,0.5937483911635053,0.907052186876266,0.3843537414965986,0.9750566893424036,0.024943310657596373,0.6473203683109343,0.6132075471698113,0.6923076923076923,0.028498108472187613,0.6448979591836734,0.6289193117844007,0.598480421432851,0.908530825003665,0.37834467120181403,0.9770975056689343,0.00430839002267569
five_class,LocalTail_LR,Local deep-tail depth,LR,Localized tail component,1,882,0.47052154195011336,0.4279834586769047,0.3942950351866465,0.710048783431359,0.7188208616780045,0.8514739229024944,0.14852607709750568,0.43914192463720764,0.30660377358490565,0.5590909090909091,0.10241577907510187,0.4709750566893424,0.4277674787969955,0.4044167401413393,0.7038917298087499,0.7272108843537415,0.8414965986394558,0.00045351473922905505
five_class,MidpointCompact_LR,Core penetration fraction + penetration prevalence,LR,PRIMARY compact transferable representation,2,882,0.7154195011337868,0.7102908228682222,0.704789571084653,0.9247497991912953,0.2981859410430839,0.9863945578231292,0.013605442176870748,0.6931839125235351,0.6349206349206349,0.7613636363636364,0.046009480171419696,0.7264172335600907,0.7230432112752652,0.7214893526404779,0.9273778603149179,0.2841269841269841,0.9894557823129251,0.010997732426303863
five_class,MidpointExtended_LR,Core penetration fraction + penetration prevalence + local deep-tail depth,LR,Extended local-detail representation,3,882,0.7278911564625851,0.7243304093188649,0.7197528284478644,0.9264012087910116,0.2868480725623583,0.9852607709750567,0.01473922902494331,0.6977525619035053,0.6538461538461539,0.7818181818181819,0.05010852990586738,0.7399092970521541,0.738029420075007,0.7354092843709114,0.9279941411564154,0.27426303854875284,0.9869614512471655,0.01201814058956907
five_class,MidpointCompact_RF,Core penetration fraction + penetration prevalence,RF,Classifier-flexibility control,2,882,0.6575963718820862,0.6511028208758701,0.644862566647405,0.9077734835547707,0.36281179138321995,0.9795918367346939,0.02040816326530612,0.6156868550736475,0.5,0.7272727272727273,0.0806446995154799,0.6985260770975057,0.6941710784521956,0.6934838773027734,0.9164377696278375,0.3164399092970521,0.9854875283446711,0.0409297052154195
five_class,Profile20_LR,20-bin vertical return profile,LR,Full-profile representation control,20,882,0.5294784580498866,0.5397017754740638,0.5246825719690112,0.8744939485507744,0.4943310657596372,0.9784580498866212,0.0215419501133786,0.5080127681542775,0.2884615384615384,0.6507936507936508,0.1337873508275457,0.7207482993197278,0.7142942249805607,0.7125102302923876,0.9239594424513452,,,0.1912698412698412
five_class,Profile20_RF,20-bin vertical return profile,RF,Full-profile nonlinear control,20,882,0.4807256235827664,0.5046439229058477,0.4947026343435089,0.8593914037529843,0.5476190476190477,0.971655328798186,0.028344671201814053,0.4604764993915937,0.2788461538461538,,0.1075083087809558,0.7226757369614512,,0.7165847122181745,0.922630512383759,,,0.2419501133786847
five_class,Profile20_CNN,20-bin vertical return profile,1D CNN,Full-profile deep nonlinear control,20,882,0.6201814058956916,0.6054171489102224,0.5842899032294928,0.9012753594891156,0.4024943310657596,0.979591836734694,0.0204081632653061,0.5795073244365697,0.3557692307692308,0.6904761904761905,0.1336459472542398,0.7165532879818594,0.7072224841954731,0.7055828616844027,0.922323663498906,,,0.0963718820861677
