Scheme,HeldField,Method,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate,Altitude
five_class,1,MidpointCompact_LR,440,0.6363636363636364,0.4636193158054371,0.45876922347574045,0.8942079100929328,0.4340909090909091,0.9431818181818182,0.056818181818181816,20
five_class,2,MidpointCompact_LR,126,0.5793650793650794,0.5898579281787677,0.49796938426174986,0.6700597477317991,0.46825396825396826,0.9523809523809523,0.047619047619047616,20
five_class,3,MidpointCompact_LR,212,0.5849056603773585,0.6283728208728209,0.5815937270276893,0.7957801803149901,0.4386792452830189,0.9764150943396226,0.02358490566037736,20
five_class,1,MidpointExtended_LR,440,0.6272727272727273,0.46503194291461136,0.45871762711391745,0.8914080620064003,0.44772727272727275,0.9318181818181818,0.06818181818181818,20
five_class,2,MidpointExtended_LR,126,0.6190476190476191,0.6661540658242308,0.5927394344785648,0.7178502879078694,0.42063492063492064,0.9603174603174603,0.03968253968253968,20
five_class,3,MidpointExtended_LR,212,0.5754716981132075,0.6526088686088686,0.5861927955417388,0.7998705361959219,0.4481132075471698,0.9764150943396226,0.02358490566037736,20
five_class,1,MidpointCompact_LR,440,0.7272727272727273,0.5599338218156857,0.5564256471819498,0.9509803921568627,0.2772727272727273,0.9954545454545455,0.004545454545454545,40
five_class,2,MidpointCompact_LR,126,0.6984126984126984,0.6609909331048761,0.5930890388942462,0.8138378378378378,0.30952380952380953,0.9920634920634921,0.007936507936507936,40
five_class,3,MidpointCompact_LR,212,0.6981132075471698,0.7153391248391248,0.6890050734901986,0.8538075066495912,0.3113207547169811,0.9905660377358491,0.009433962264150943,40
five_class,1,MidpointExtended_LR,440,0.7318181818181818,0.5652102102389732,0.5607672935221475,0.9469529184825319,0.27954545454545454,0.990909090909091,0.00909090909090909,40
five_class,2,MidpointExtended_LR,126,0.7063492063492064,0.733496109088313,0.6895525389643038,0.8219584569732938,0.30158730158730157,0.9920634920634921,0.007936507936507936,40
five_class,3,MidpointExtended_LR,212,0.7216981132075472,0.7618880308880309,0.7222043951077641,0.8724849143367159,0.2830188679245283,0.9952830188679245,0.0047169811320754715,40
five_class,1,MidpointCompact_LR,440,0.7568181818181818,0.588494420765289,0.5834068496662825,0.9545111012876638,0.25,0.9931818181818182,0.006818181818181818,60
five_class,2,MidpointCompact_LR,126,0.6190476190476191,0.6301791961162275,0.5550836920133907,0.721608484312859,0.4126984126984127,0.9682539682539683,0.031746031746031744,60
five_class,3,MidpointCompact_LR,212,0.6981132075471698,0.707015093015093,0.6846998925648562,0.8566353102668658,0.30660377358490565,0.9952830188679245,0.0047169811320754715,60
