Scheme,Repeat,Method,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate
five_class,0,CorePF_LR,882,0.6678004535147393,0.6521493940749332,0.6433703318708447,0.9043087645292704,0.3673469387755102,0.9648526077097506,0.035147392290249435
five_class,1,CorePF_LR,882,0.6621315192743764,0.6456831932621668,0.6362183209680143,0.9031067146101055,0.373015873015873,0.9648526077097506,0.035147392290249435
five_class,2,CorePF_LR,882,0.6632653061224489,0.6471793579162262,0.6374959305848573,0.9035829428308909,0.37188208616780044,0.9648526077097506,0.035147392290249435
five_class,3,CorePF_LR,882,0.6632653061224489,0.6472921044718809,0.6373122221498638,0.9033439867191412,0.37188208616780044,0.9648526077097506,0.035147392290249435
five_class,4,CorePF_LR,882,0.6632653061224489,0.6474518882783562,0.6387519387420857,0.9032691854510646,0.37188208616780044,0.9648526077097506,0.035147392290249435
five_class,5,CorePF_LR,882,0.6655328798185941,0.6498109368635946,0.640235776316383,0.9040299372213507,0.36961451247165533,0.9648526077097506,0.035147392290249435
five_class,6,CorePF_LR,882,0.6655328798185941,0.6504769940576993,0.6407080289052662,0.9030586687580641,0.3707482993197279,0.963718820861678,0.036281179138321996
five_class,7,CorePF_LR,882,0.6655328798185941,0.6501223902909634,0.6414920971991294,0.9038606218370584,0.36961451247165533,0.9648526077097506,0.035147392290249435
five_class,8,CorePF_LR,882,0.6678004535147393,0.652222493490138,0.64339072455148,0.9035755658891025,0.36848072562358275,0.963718820861678,0.036281179138321996
five_class,9,CorePF_LR,882,0.6609977324263039,0.6452651006879111,0.6348977767367406,0.9020727774183013,0.37528344671201813,0.963718820861678,0.036281179138321996
five_class,0,GlobalPF_LR,882,0.6723356009070295,0.6629700414212667,0.6580917041878798,0.9135287458525538,0.3435374149659864,0.9841269841269841,0.015873015873015872
five_class,1,GlobalPF_LR,882,0.6666666666666666,0.6564478293682785,0.6518171484419005,0.9106597361055577,0.35147392290249435,0.981859410430839,0.018140589569160998
five_class,2,GlobalPF_LR,882,0.6666666666666666,0.6579944952868289,0.6530211051612029,0.9121408204008616,0.3492063492063492,0.9841269841269841,0.015873015873015872
five_class,3,GlobalPF_LR,882,0.6723356009070295,0.6630602290114542,0.6579033141485666,0.9129170088345835,0.34467120181405897,0.9829931972789115,0.017006802721088437
five_class,4,GlobalPF_LR,882,0.6700680272108843,0.6607272425905999,0.6557710713481443,0.9131224690817555,0.3458049886621315,0.9841269841269841,0.015873015873015872
five_class,5,GlobalPF_LR,882,0.6700680272108843,0.6613283145550816,0.6568913918682049,0.9120690790859637,0.3469387755102041,0.9829931972789115,0.017006802721088437
five_class,6,GlobalPF_LR,882,0.673469387755102,0.6642687427199679,0.6596195844699009,0.9129753295877242,0.3435374149659864,0.9829931972789115,0.017006802721088437
five_class,7,GlobalPF_LR,882,0.6678004535147393,0.6575777728711033,0.6527769674135646,0.9101898395832729,0.35147392290249435,0.9807256235827665,0.01927437641723356
five_class,8,GlobalPF_LR,882,0.6678004535147393,0.6578367182571674,0.6530176217056469,0.9124581578615223,0.34807256235827666,0.9841269841269841,0.015873015873015872
five_class,9,GlobalPF_LR,882,0.6621315192743764,0.6515905397652262,0.6469767805215946,0.9104088028150245,0.35487528344671204,0.9829931972789115,0.017006802721088437
five_class,0,GlobalPF_Threshold,882,0.6678004535147393,0.6601421848981801,0.65770081781457,0.9087928383627945,0.35034013605442177,0.981859410430839,0.018140589569160998
five_class,1,GlobalPF_Threshold,882,0.6723356009070295,0.664830716705356,0.662367009723752,0.9107501113396814,0.34467120181405897,0.9829931972789115,0.017006802721088437
five_class,2,GlobalPF_Threshold,882,0.6700680272108843,0.6630906880634015,0.6612077898976867,0.909603085950154,0.3469387755102041,0.9829931972789115,0.017006802721088437
five_class,3,GlobalPF_Threshold,882,0.6723356009070295,0.664813628530373,0.6624183970320446,0.9105799789341403,0.34467120181405897,0.9829931972789115,0.017006802721088437
five_class,4,GlobalPF_Threshold,882,0.6700680272108843,0.6624806421095186,0.6603089210672921,0.9100175439555335,0.3469387755102041,0.9829931972789115,0.017006802721088437
five_class,5,GlobalPF_Threshold,882,0.6678004535147393,0.6597930519219284,0.6576830094480612,0.907776312693888,0.35147392290249435,0.9807256235827665,0.01927437641723356
five_class,6,GlobalPF_Threshold,882,0.6678004535147393,0.6598661513371331,0.6577228760172198,0.9095516905128729,0.3492063492063492,0.9829931972789115,0.017006802721088437
